
TIME STEP:
160 = 0.2ms

VOLTAGE STEP:
CH1:  32 = 0.1V
CH2:  32 = 0.1V

N	CH1	CH2
1555	119	135
1556	119	135
1557	120	135
1558	121	135
1559	121	135
1560	122	135
1561	123	135
1562	123	135
1563	124	135
1564	124	135
1565	124	135
1566	125	135
1567	125	135
1568	126	135
1569	126	135
1570	126	135
1571	126	135
1572	127	135
1573	127	135
1574	127	135
1575	127	135
1576	127	135
1577	127	135
1578	127	135
1579	127	135
1580	127	135
1581	127	135
1582	127	135
1583	126	135
1584	126	135
1585	125	135
1586	125	135
1587	124	135
1588	123	135
1589	123	135
1590	122	135
1591	121	135
1592	119	135
1593	118	135
1594	117	135
1595	116	135
1596	114	135
1597	112	135
1598	111	135
1599	110	135
1600	108	135
1601	107	135
1602	105	135
1603	103	135
1604	101	135
1605	100	135
1606	97	135
1607	96	135
1608	94	135
1609	92	135
1610	90	135
1611	89	135
1612	87	135
1613	85	135
1614	83	135
1615	81	135
1616	79	135
1617	77	135
1618	75	135
1619	73	135
1620	72	135
1621	70	135
1622	69	135
1623	67	135
1624	65	135
1625	63	135
1626	62	135
1627	60	135
1628	58	135
1629	57	135
1630	55	135
1631	53	135
1632	51	135
1633	50	135
1634	49	135
1635	48	135
1636	46	135
1637	45	135
1638	44	135
1639	43	135
1640	42	135
1641	41	135
1642	40	135
1643	40	135
1644	39	135
1645	39	135
1646	38	135
1647	38	135
1648	37	135
1649	37	135
1650	37	135
1651	38	135
1652	38	135
1653	38	135
1654	38	135
1655	38	135
1656	39	135
1657	40	135
1658	40	135
1659	41	135
1660	42	135
1661	43	135
1662	44	135
1663	45	135
1664	46	135
1665	47	135
1666	49	135
1667	50	135
1668	51	135
1669	53	135
1670	55	135
1671	56	135
1672	59	135
1673	60	135
1674	62	135
1675	64	135
1676	66	135
1677	68	135
1678	70	135
1679	72	135
1680	74	135
1681	76	135
1682	79	135
1683	81	135
1684	83	135
1685	85	135
1686	87	135
1687	89	135
1688	92	135
1689	94	135
1690	96	135
